Name,PlanetOfOrigin,Intelligence,TechnicalLevel,PreferredPlanetType,PreferredClimate,Colonies,ChanceInMixedPopulation,MaxPercentageOnMixedWorlds,CiadanPresence,AccessLevel,CouncilRelations,Playable,Description
Arambnn,,COMMON,BRONZE,D,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Carmonnu,,COMMON,BRONZE,N,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Carrionites,,COMMON,BRONZE,H,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Corvalmir,,COMMON,BRONZE,N,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Derkuhr,,COMMON,BRONZE,N,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Drannik,,COMMON,BRONZE,N,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Duarregs,,COMMON,BRONZE,N,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Gamilons,,COMMON,BRONZE,M,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Jutlimar,,COMMON,BRONZE,N,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Kalangar,,COMMON,BRONZE,N,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Kodos,,COMMON,BRONZE,N,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Laxidasians,,COMMON,BRONZE,M,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Osirians,,COMMON,BRONZE,D,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Rykkins,,COMMON,BRONZE,H,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Ssora,,COMMON,BRONZE,N,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Tatanga,,COMMON,BRONZE,M,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Tau,,COMMON,BRONZE,M,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Tavleks,,COMMON,BRONZE,M,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Vyrium,,COMMON,BRONZE,N,ARCTIC,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Beittallen,,COMMON,BRONZE,Y,CHEMICAL,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Antedeans,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Anterians,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Arachnids,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Aras,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Asari,,COMMON,BRONZE,H,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Baliflids,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Deoxys,,COMMON,BRONZE,H,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Devilukean,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
Hilegird,,COMMON,BRONZE,M,DESERT,1,0%,0%,0%,L6,UNKNOWN,FALSE,"Though some untraceable source mentions this species, hardly anything is known about it (them? They?)"
