Naam;Type;TemperatureSequence;LuminosityClass;DistanceInParsecs;LongitudeInDecimalDegrees;LattitudeInDecimalHours
Canopus;A;9;II;95.046426;-52.012328;6.015864
Rigil Kentaurus;G;2;V;1.349046;-60.004194;14.010137
Toliman;K;1;V;1.339848;-60.004194;14.009740
Arcturus;K;0;III;11.344251;18.984444;14.011028
Vega;A;0;V;7.665034;5.999644;18.015649
Rigel;B;8;Ia;263.677181;-8.001638;5.008964
Procyon;F;5;IV;3.372615;4.991679;7.005033
Achernar;B;6;V;42.617591;-57.003419;1.011902
Betelgeuse;M;1;Ia;214.620961;6.992936;5.002863
Hadar;B;1;III;119.574535;-60.006369;14.013724
Altair;A;7;V;5.212223;7.998345;19.013055
Aldebaran;K;5;III;19.929089;15.990698;4.015344
Pollux;K;0;III;10.424447;27.990468;7.005264
Fomalhaut;A;3;V;7.665034;28.994431;22.010846
Deneb;A;2;Ia;801.762590;44.986389;20.007194
Regulus;B;8;IV;24.221508;10.999458;10.003556
Adhara;B;2;II;131.838590;-28.005278;6.010444
Shaula;B;2;IV;174.762783;-37.003822;17.010144
Gacrux;M;3;III;26.980921;-57.013213;12.002767
Bellatrix;B;2;III;73.584329;5.983630;5.002184
Elnath;B;7;III;39.858178;27.992548;5.004865
Miaplacidus;A;1;III;33.726151;-69.000541;9.003327
Alnilam;A;1;III;613.202746;-1.001917;5.003556
Alnair;B;6;V;30.660137;-46.010974;22.003885
Alioth;A;1;III;24.834711;54.990177;12.000486
Mirfak;F;5;Ib;180.894810;48.988821;3.005381
Wezen;F;8;II;551.882471;-26.009874;7.006524
Sargas;F;0;III;82.782371;-42.014495;17.005314
Kaus Australis;B;9;V;42.924192;-34.001283;18.002866
Alkaid;B;3;V;30.660137;48.986733;13.009010
Atria;K;2;IIb;128.772577;-69.011045;16.011082
Alhena;A;1;IV;30.660137;15.984053;6.011864
Peacock;B;3;V;55.188247;-56.001756;20.010794
Mirzam;B;1;II;153.300686;-17.005919;6.011663
Alphard;K;3;II;55.188247;-8.008603;9.009790
Polaris;F;7;Ib;131.838590;88.985889;2.013636
Hamal;K;1;IIIb;20.235691;22.987582;2.002890
Diphda;K;0;III;29.433732;-17.003273;0.009825
Nunki;B;2;V;67.452302;-26.013391;18.004424
Menkent;K;0;III;18.702684;-36.003288;14.011374
Mirach;M;0;III;61.320275;34.996109;1.012201
Rasalhague;A;5;III;14.410265;11.989963;17.015575
Kochab;K;4;III;39.858178;73.994496;14.011757
Saiph;B;0;III;220.752988;-9.002938;5.012608
Denebola;A;3;Ia;11.037649;13.994609;11.000994
Tiaki;M;5;V;52.122233;-46.001243;22.011125
Aspidiske;A;9;Ib;211.554947;-59.008565;9.001502
Suhail;K;4;Ib;174.762783;-43.015924;9.016599
Sadr;F;8;Iab;459.902059;39.993321;20.003806
Eltanin;K;5;III;45.990206;50.994438;17.010103
Schedar;K;0;IIIa;70.518316;55.996002;0.008456
Naos;O;4;I;331.129483;-40.003222;8.009750
Caph;F;2;III;16.556474;58.983552;0.002968
Larawag;K;1;III;19.929089;-34.010000;16.002722
Eta Centauri;B;1;V;95.046426;-42.007825;14.008451
Enif;K;2;I;205.422920;8.991658;21.003099
Scheat;M;2;II;61.320275;27.983880;23.012905
Phecda;A;0;V;25.754515;52.988574;11.013846
Aludra;B;5;Ia;613.202746;-29.003106;7.001584
Markeb;B;2;IV;165.564741;-55.010667;9.001894
Markab;A;0;IV;42.924192;14.994733;23.012682
Aljanah;K;0;III;22.075299;32.996410;20.003523
